customer_id,customer_name,email,phone,dob,address,city,state,signup_date
CUS000126,Amanda Hoffman,lmccoy@example.org,5670431934,1979-06-15,860 Robert Passage Suite 950,North Jennifertown,Maine,2026-03-25
CUS000127,James Mcdonald,rvazquez@example.net,8545620905,1978-07-29,478 Petersen Locks Suite 356,Tamaraside,Tennessee,2024-08-14
CUS000128,Robert Wright,rebeccahenson@example.net,1836728343,1977-04-23,752 Swanson Junctions Suite 332,Jenniferside,Missouri,2022-06-17
CUS000129,Crystal Boyer,codygarcia@example.org,5439733028,1976-12-23,948 Brittany Road Suite 299,Port Sara,Ohio,2025-04-21
CUS000130,James Jacobs,richard36@example.com,8223470111,1983-02-14,814 Barrera Heights,South Samuel,California,2025-12-29
CUS000131,Michelle Mora,ericbryant@example.com,5230864614,1976-09-27,722 Katie Stravenue,North Brenda,West Virginia,2023-06-06
CUS000132,Kevin Bailey,coreynavarro@example.org,2968428221,1979-09-11,43486 Aaron Junction,West Katherineview,Massachusetts,2026-01-22
CUS000133,Mandy Douglas,marissa39@example.net,1925022607,2005-02-12,705 Patel Circles Apt. 080,Bridgetstad,Arkansas,2026-06-07
CUS000134,Michael Powers,colonmegan@example.org,8134397972,1985-08-27,34192 Cantu Pike,North Amberfurt,Minnesota,2023-01-25
CUS000135,Stephanie Allen,uaguirre@example.com,753799797,1995-06-12,73316 Harding Estates Suite 834,East Shanebury,Kentucky,2022-02-22
CUS000136,Donna Walters,derek86@example.org,926709264,1982-06-05,4874 Robin River Apt. 090,South Christina,Hawaii,2024-04-13
CUS000137,Mackenzie Silva,lnguyen@example.org,5685589070,1965-08-25,498 Patterson Dam Apt. 819,New Cynthiaburgh,Rhode Island,2024-01-06
CUS000138,Kristin Douglas,sellershannah@example.net,1838133894,1998-01-11,04178 Allen Lights,North Rebeccafort,Wisconsin,2024-07-19
CUS000139,Raymond Salas,sheltonkelly@example.org,5216611380,1983-12-01,08400 Eric Trace,Port Markmouth,Michigan,2026-01-24
CUS000140,Brian Diaz,lsantiago@example.net,3850644497,1972-07-17,02299 Woods Isle Apt. 778,Reyesfurt,California,2024-12-08
CUS000141,Cheryl Brandt,ericamcbride@example.net,5741176705,1970-02-14,33558 Jennifer Islands,North Matthewmouth,Vermont,2024-11-26
CUS000142,Gerald Munoz,kaylabailey@example.net,286849708,1960-12-09,9061 Alexis Lock,Mcclurehaven,New Hampshire,2022-01-24
CUS000143,Allen Wagner,cassandrascott@example.org,5636198435,1979-05-11,75097 Amanda Rapid,Herrerafort,Arkansas,2023-07-30
CUS000144,Nicholas Price,tristan63@example.net,5816283163,1999-12-12,06004 Adrian Springs,Port Elizabethshire,South Dakota,2025-03-17
CUS000145,Jesse Reyes,rogerssherri@example.org,2779084505,2006-08-14,098 Amy Keys Suite 206,North Samantha,North Carolina,2025-04-11
CUS000146,David Campbell,barnesdavid@example.com,9697431204,1974-10-15,4264 Tiffany Prairie,New Eric,Vermont,2024-05-29
CUS000147,Javier Robbins,buchananpatricia@example.net,7158381646,1967-05-14,0508 Barrett Stravenue Suite 086,Victoriaview,Utah,2022-12-04
CUS000148,Anthony Navarro,dunnjonathan@example.com,8835888473,2001-11-27,62223 Mark Springs,Stephensonfurt,Florida,2026-01-22
CUS000149,Christopher Bruce,garyrogers@example.net,6149705322,1970-10-28,91935 Tyler Walk Apt. 019,South Johnchester,Utah,2025-06-13
CUS000150,Lisa Walker,jaimewilliams@example.com,8710808783,1981-02-09,42168 Davis Lodge,East Warrenberg,Ohio,2023-09-14
CUS000151,Brandi Gonzalez,morrisalicia@example.com,1642407185,1997-10-17,6777 Dawn Stream Suite 515,Port Mariamouth,Ohio,2022-01-29
CUS000152,Tanya Hickman,bmcknight@example.com,9201305479,1971-06-22,8343 Chavez Isle,Port Bradleyburgh,Vermont,2024-02-03
CUS000153,Laurie Boyd,rodriguezsamuel@example.net,7871282731,1974-01-12,6111 Johnson Ports,Port Cathy,Oklahoma,2024-08-12
CUS000154,Kevin Henderson,cwilliams@example.com,5803290449,1999-04-06,909 Johnson Village Suite 668,Millerfurt,Alabama,2026-01-12
CUS000155,Sean Andrade,williamsdaniel@example.net,6865945231,1965-10-16,194 Julie Extensions Suite 942,Matthewfurt,Colorado,2021-07-30
CUS000156,Dawn Vasquez,ricardocruz@example.com,2510731350,1986-07-26,1554 Elijah Bypass Apt. 416,Hollowaymouth,Kentucky,2025-05-15
CUS000157,Melissa Henderson,ctaylor@example.com,6030384314,2006-08-15,367 Jonathan Roads,Hillville,Wisconsin,2023-01-31
CUS000158,Samantha Mitchell,andrewdunlap@example.com,170697135,1999-02-26,647 Jason Manors Apt. 959,Port Emily,Virginia,2024-05-20
CUS000159,Cody Brown,oanderson@example.org,4108384987,1993-02-23,1363 Reilly Point,New Cathyfort,South Carolina,2024-04-23
CUS000160,Jason Peters,johnlong@example.com,6278754317,2002-02-23,4683 Jeffrey Parkway,Stephenhaven,California,2024-11-01
CUS000161,Albert Webb,rjohnson@example.com,3551641107,2004-08-25,5904 Ryan Keys,Lake Donna,Nevada,2022-07-17
CUS000162,Gerald Becker,jbullock@example.com,3832433255,1986-09-12,13233 John Shoals Apt. 337,Wadetown,Colorado,2023-11-25
CUS000163,Frank Elliott,jason34@example.com,5628978333,1981-12-01,097 Dennis Keys Apt. 852,New Timothy,Maryland,2024-07-06
CUS000164,Sharon Mills,sblair@example.com,9832828386,1983-01-17,65485 Cristian Ridges,Port Michaelshire,Tennessee,2022-03-03
CUS000165,James Harper,ynewman@example.com,5028083851,1994-07-16,46115 William Route,Allisonborough,Missouri,2024-08-02
CUS000166,Richard Brown,renee24@example.com,5583031586,1984-12-21,578 Anderson Oval,East Barbarahaven,Wyoming,2025-09-21
